Initial,Goal,PPV_1,ACC_1,PPV_2,ACC_2,PPV_3,ACC_3,PPV_4,ACC_4,PPV_5,ACC_5,PPV_6,ACC_6,PPV_total,ACC_total,spread,planner_calls,online_time,offline_time
0,1,0,0.75,0,0.75,0,0.75,0,0.75,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,7,3.4342,488.6866
0,2,0,0.75,0,0.75,0,0.75,0,0.75,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,7,2.4797,489.1498
0,3,0,0.75,0,0.75,0.3333,0.8333,0.5,0.875,0.6,0.9,0.6667,0.9167,0.6667,0.9167,1,7,4.0348,483.0456
0,4,0,0.75,0,0.75,0,0.75,0.25,0.8125,0.4,0.85,0.5,0.875,0.5,0.875,1,7,3.3383,482.6173
0,5,0,0.75,0,0.75,0,0.75,0.25,0.8125,0.4,0.85,0.5,0.875,0.5,0.875,1,7,3.227,463.2206
0,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,3.6449,469.0774
0,7,0,0.75,0,0.75,0,0.75,0,0.75,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,7,4.6077,459.7922
1,0,0,0.75,0,0.75,0,0.75,0,0.75,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,7,4.3427,409.0992
1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,3.9914,401.3504
1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,4.6962,399.0521
1,4,0,0.75,0,0.75,0,0.75,0.25,0.8125,0.4,0.85,0.5,0.875,0.5,0.875,1,7,4.0835,402.9605
1,5,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0.1667,0.7917,0.1667,0.7917,1,7,4.7493,400.2287
1,6,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0.1667,0.7917,0.1667,0.7917,1,7,4.6198,405.1882
1,7,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0.1667,0.7917,0.1667,0.7917,1,7,5.4535,403.2906
2,0,0,0.75,0.5,0.875,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.8333,0.9583,0.8333,0.9583,1,7,2.0928,271.867
2,1,0,0.75,0.5,0.875,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.8333,0.9583,0.8333,0.9583,1,7,2.7215,275.9489
2,3,0,0.75,0.5,0.875,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.8333,0.9583,0.8333,0.9583,1,7,2.229,278.9389
2,4,0,0.75,0.5,0.875,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.8333,0.9583,0.8333,0.9583,1,7,2.8391,276.0255
2,5,0,0.75,0.5,0.875,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.8333,0.9583,0.8333,0.9583,1,7,2.4858,269.2924
2,6,1,1,1,1,1,1,1,1,1,1,0.8333,0.9583,0.8333,0.9583,1,7,1.9419,272.7187
2,7,0,0.75,0,0.75,0,0.75,0.25,0.8125,0.4,0.85,0.5,0.875,0.5,0.875,1,7,2.8209,267.8759
3,0,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0.1667,0.7917,0.1667,0.7917,1,7,6.578,555.0985
3,1,0,0.75,0,0.75,0,0.75,0.25,0.8125,0.4,0.85,0.5,0.875,0.5,0.875,1,7,5.528,535.8906
3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,5.4607,543.554
3,4,0,0.75,0,0.75,0,0.75,0,0.75,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,7,5.864,536.5463
3,5,0,0.75,0.5,0.875,0.3333,0.8333,0.25,0.8125,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,7,5.4972,545.5877
3,6,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,1,7,4.1921,538.5179
3,7,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0.1667,0.7917,0.1667,0.7917,1,7,4.2054,532.2043
4,0,0,0.75,0,0.75,0,0.75,0,0.75,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,7,3.9995,465.3541
4,1,0,0.75,0,0.75,0,0.75,0.25,0.8125,0.4,0.85,0.5,0.875,0.5,0.875,1,7,4.6021,471.5825
4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,4.1825,445.4815
4,3,0,0.75,0,0.75,0.3333,0.8333,0.5,0.875,0.6,0.9,0.6667,0.9167,0.6667,0.9167,1,7,5.6697,458.9537
4,5,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0.1667,0.7917,0.1667,0.7917,1,7,3.9295,475.2716
4,6,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0.1667,0.7917,0.1667,0.7917,1,7,3.5512,447.1298
4,7,0,0.75,0.5,0.875,0.3333,0.8333,0.25,0.8125,0.4,0.85,0.5,0.875,0.5,0.875,1,7,6.4743,469.7845
5,0,0,0.75,0,0.75,0,0.75,0.25,0.8125,0.4,0.85,0.5,0.875,0.5,0.875,1,7,4.7054,377.3275
5,1,0,0.75,0,0.75,0,0.75,0,0.75,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,7,4.4624,369.0452
5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,3.303,373.1796
5,3,0,0.75,0,0.75,0.3333,0.8333,0.5,0.875,0.6,0.9,0.6667,0.9167,0.6667,0.9167,1,7,5.0718,371.3975
5,4,0,0.75,0,0.75,0,0.75,0.25,0.8125,0.4,0.85,0.5,0.875,0.5,0.875,1,7,4.9053,368.9691
5,6,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0.1667,0.7917,0.1667,0.7917,1,7,3.8411,364.3963
5,7,0,0.75,0,0.75,0,0.75,0,0.75,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,7,5.143,390.4263
6,0,0,0.75,0.5,0.875,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.8333,0.9583,0.8333,0.9583,1,7,2.5105,296.6886
6,1,0,0.75,0.5,0.875,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.8333,0.9583,0.8333,0.9583,1,7,2.3946,304.1086
6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1.7919,307.9707
6,3,0,0.75,0,0.75,0.3333,0.8333,0.5,0.875,0.6,0.9,0.6667,0.9167,0.6667,0.9167,1,7,3.9321,302.5423
6,4,0,0.75,0.5,0.875,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.8333,0.9583,0.8333,0.9583,1,7,2.7337,307.4149
6,5,0,0.75,0,0.75,0.3333,0.8333,0.5,0.875,0.6,0.9,0.6667,0.9167,0.6667,0.9167,1,7,3.2883,301.8152
6,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1.9558,305.8709
7,0,0,0.75,0,0.75,0,0.75,0.25,0.8125,0.4,0.85,0.5,0.875,0.5,0.875,1,7,4.7053,390.8257
7,1,0,0.75,0,0.75,0,0.75,0,0.75,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,7,4.736,413.7989
7,2,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0.1667,0.7917,0.1667,0.7917,1,7,3.6679,401.2747
7,3,0,0.75,0,0.75,0,0.75,0,0.75,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,7,5.5955,412.6656
7,4,0,0.75,0,0.75,0,0.75,0.25,0.8125,0.4,0.85,0.5,0.875,0.5,0.875,1,7,4.2893,399.1097
7,5,0,0.75,0,0.75,0,0.75,0.25,0.8125,0.4,0.85,0.5,0.875,0.5,0.875,1,7,4.6191,402.957
7,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1.8139,323.388
,,,,,,,,,,,,,,0.553567857,,,,,
