Initial,Goal,PPV_1,ACC_1,PPV_2,ACC_2,PPV_3,ACC_3,PPV_4,ACC_4,PPV_5,ACC_5,PPV_6,ACC_6,PPV_total,ACC_total,spread,planner_calls,online_time,offline_time
0,1,0,0.75,0,0.75,0,0.75,0.25,0.8125,0.4,0.85,0.5,0.875,0.5,0.875,1,7,1.4279,190.3079
0,2,0,0.75,0,0.75,0,0.75,0,0.75,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,7,1.127,190.3965
0,3,0,0.75,0,0.75,0.3333,0.8333,0.5,0.875,0.6,0.9,0.6667,0.9167,0.6667,0.9167,1,7,1.5868,190.6006
0,4,0,0.75,0,0.75,0.3333,0.8333,0.5,0.875,0.6,0.9,0.6667,0.9167,0.6667,0.9167,1,7,1.4319,190.253
0,5,0,0.75,0,0.75,0,0.75,0.25,0.8125,0.4,0.85,0.5,0.875,0.5,0.875,1,7,1.334,190.0112
0,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1.1305,189.9682
0,7,0,0.75,0,0.75,0,0.75,0,0.75,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,7,1.3173,190.1655
1,0,0,0.75,0,0.75,0,0.75,0,0.75,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,7,1.2327,171.4814
1,2,1,1,0.5,0.875,0.3333,0.8333,0.5,0.875,0.6,0.9,0.6667,0.9167,0.6667,0.9167,1,7,0.9096,172.0151
1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1.0712,171.1631
1,4,0,0.75,0,0.75,0.3333,0.8333,0.5,0.875,0.6,0.9,0.6667,0.9167,0.6667,0.9167,1,7,1.0087,173.717
1,5,1,1,1,1,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.8333,0.9583,0.8333,0.9583,1,7,1.1563,173.7699
1,6,0,0.75,0,0.75,0.3333,0.8333,0.25,0.8125,0.2,0.8,0.1667,0.7917,0.1667,0.7917,1,7,1.1064,174.1281
1,7,1,1,0.5,0.875,0.3333,0.8333,0.25,0.8125,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,7,1.1918,171.5369
2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0.8547,159.3001
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1.7018,159.5713
2,3,0,0.75,0.5,0.875,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.8333,0.9583,0.8333,0.9583,1,7,1.9802,159.6794
2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0.8758,160.7501
2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0.7823,160.6926
2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0.5397,161.7877
2,7,0,0.75,0,0.75,0,0.75,0.25,0.8125,0.4,0.85,0.5,0.875,0.5,0.875,1,7,1.6576,168.8467
3,0,0,0.75,0,0.75,0,0.75,0,0.75,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,7,1.9032,181.578
3,1,0,0.75,0,0.75,0,0.75,0,0.75,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,7,1.5525,182.0548
3,2,1,1,1,1,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.6667,0.9167,0.6667,0.9167,1,7,1.5405,182.68
3,4,0,0.75,0,0.75,0.3333,0.8333,0.5,0.875,0.6,0.9,0.6667,0.9167,0.6667,0.9167,1,7,1.7199,181.4065
3,5,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0.1667,0.7917,0.1667,0.7917,1,7,1.6165,181.4744
3,6,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,1,7,1.5795,180.5724
3,7,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0.1667,0.7917,0.1667,0.7917,1,7,1.6186,181.5237
4,0,0,0.75,0,0.75,0,0.75,0,0.75,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,7,1.4188,164.6684
4,1,0,0.75,0,0.75,0,0.75,0.25,0.8125,0.4,0.85,0.5,0.875,0.5,0.875,1,7,1.2404,167.4754
4,2,1,1,1,1,1,1,0.75,0.9375,0.6,0.9,0.6667,0.9167,0.6667,0.9167,1,7,1.0266,162.977
4,3,0,0.75,0.5,0.875,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.8333,0.9583,0.8333,0.9583,1,7,1.391,163.7748
4,5,0,0.75,0,0.75,0,0.75,0,0.75,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,7,1.2976,165.0867
4,6,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,1,7,1.0819,164.9569
4,7,0,0.75,0,0.75,0.3333,0.8333,0.5,0.875,0.6,0.9,0.6667,0.9167,0.6667,0.9167,1,7,1.2395,165.7979
5,0,0,0.75,0,0.75,0.3333,0.8333,0.5,0.875,0.6,0.9,0.6667,0.9167,0.6667,0.9167,1,7,1.2909,142.0539
5,1,0,0.75,0.5,0.875,0.3333,0.8333,0.5,0.875,0.6,0.9,0.6667,0.9167,0.6667,0.9167,1,7,1.2826,141.9602
5,2,1,1,1,1,1,1,1,1,1,1,0.8333,0.9583,0.8333,0.9583,1,7,0.9233,142.2256
5,3,0,0.75,0.5,0.875,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.8333,0.9583,0.8333,0.9583,1,7,1.3063,142.4932
5,4,0,0.75,0,0.75,0,0.75,0.25,0.8125,0.4,0.85,0.5,0.875,0.5,0.875,1,7,1.2147,142.0743
5,6,0,0.75,0,0.75,0,0.75,0,0.75,0.2,0.8,0.1667,0.7917,0.1667,0.7917,1,7,0.9882,141.2776
5,7,0,0.75,0,0.75,0.3333,0.8333,0.5,0.875,0.6,0.9,0.6667,0.9167,0.6667,0.9167,1,7,1.0874,140.9563
6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0.6831,182.1573
6,1,0,0.75,0,0.75,0.3333,0.8333,0.5,0.875,0.6,0.9,0.6667,0.9167,0.6667,0.9167,1,7,0.7821,182.6224
6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0.5553,182.0883
6,3,1,1,0.5,0.875,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.8333,0.9583,0.8333,0.9583,1,7,0.91,181.7312
6,4,0,0.75,0.5,0.875,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.8333,0.9583,0.8333,0.9583,1,7,0.8372,179.493
6,5,0,0.75,0.5,0.875,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.8333,0.9583,0.8333,0.9583,1,7,0.7182,179.7914
6,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0.5093,179.7544
7,0,0,0.75,0,0.75,0,0.75,0.25,0.8125,0.4,0.85,0.5,0.875,0.5,0.875,1,7,0.8514,198.2912
7,1,0,0.75,0,0.75,0,0.75,0.25,0.8125,0.4,0.85,0.5,0.875,0.5,0.875,1,7,0.8017,170.3639
7,2,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,1,7,0.7353,169.4129
7,3,0,0.75,0,0.75,0.3333,0.8333,0.5,0.875,0.6,0.9,0.6667,0.9167,0.6667,0.9167,1,7,0.8043,173.4827
7,4,0,0.75,0,0.75,0.3333,0.8333,0.5,0.875,0.6,0.9,0.6667,0.9167,0.6667,0.9167,1,7,0.698,173.0198
7,5,0,0.75,0,0.75,0.3333,0.8333,0.5,0.875,0.6,0.9,0.6667,0.9167,0.6667,0.9167,1,7,0.6932,172.617
7,6,1,1,1,1,1,1,1,1,0.8,0.95,0.6667,0.9167,0.6667,0.9167,1,7,0.3352,172.5936
,,,,,,,,,,,,,,0.610121429,,,,,
