Initial,Goal,PPV_1,ACC_1,PPV_2,ACC_2,PPV_3,ACC_3,PPV_4,ACC_4,PPV_5,ACC_5,PPV_6,ACC_6,PPV_total,ACC_total,spread,planner_calls,online_time,offline_time
0,1,0,0.7143,0,0.7143,0.3333,0.8095,0.5,0.8571,0.6,0.8857,0.6667,0.9048,0.6667,0.9048,1,7,0.0316,354.5302
0,2,0,0.7143,0,0.7143,0,0.7143,0,0.7143,0.2,0.7714,0.3333,0.8095,0.3333,0.8095,1,7,0.0184,354.2823
0,3,0,0.7143,0,0.7143,0.3333,0.8095,0.5,0.8571,0.6,0.8857,0.6667,0.9048,0.6667,0.9048,1,7,0.0194,352.3681
0,4,0,0.7143,0,0.7143,0.3333,0.8095,0.5,0.8571,0.6,0.8857,0.6667,0.9048,0.6667,0.9048,1,7,0.0209,353.9611
0,5,0,0.7143,0,0.7143,0,0.7143,0.25,0.7857,0.4,0.8286,0.5,0.8571,0.5,0.8571,1,7,0.0195,351.3594
0,6,0,0.7143,0,0.7143,0,0.7143,0,0.7143,0,0.7143,0,0.7143,0,0.7143,1,7,0.0168,352.5355
0,7,1,1,1,1,0.6667,0.9048,0.5,0.8571,0.6,0.8857,0.6667,0.9048,0.6667,0.9048,1,7,0.0212,353.8135
1,0,0,0.7143,0,0.7143,0,0.7143,0,0.7143,0.2,0.7714,0.3333,0.8095,0.3333,0.8095,1,7,0.0243,322.3449
1,2,1,1,0.5,0.8571,0.3333,0.8095,0.25,0.7857,0.2,0.7714,0.3333,0.8095,0.3333,0.8095,1,7,0.0336,326.4469
1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0.0215,320.096
1,4,0,0.7143,0,0.7143,0.3333,0.8095,0.5,0.8571,0.6,0.8857,0.6667,0.9048,0.6667,0.9048,1,7,0.0167,393.4116
1,5,0,0.7143,0,0.7143,0,0.7143,0.25,0.7857,0.4,0.8286,0.5,0.8571,0.5,0.8571,1,7,0.0144,386.7159
1,6,0,0.7143,0,0.7143,0,0.7143,0,0.7143,0,0.7143,0,0.7143,0,0.7143,1,7,0.0206,374.9812
1,7,0,0.7143,0,0.7143,0,0.7143,0.25,0.7857,0.2,0.7714,0.3333,0.8095,0.3333,0.8095,1,7,0.0217,360.9007
2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0.0235,230.9363
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0.0192,230.526
2,3,0,0.7143,0.5,0.8571,0.6667,0.9048,0.75,0.9286,0.8,0.9429,0.8333,0.9524,0.8333,0.9524,1,7,0.0327,229.3254
2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0.0166,229.6203
2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0.0169,229.9157
2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0.0188,230.099
2,7,0,0.7143,0,0.7143,0,0.7143,0.25,0.7857,0.4,0.8286,0.5,0.8571,0.5,0.8571,1,7,0.0138,259.9276
3,0,0,0.7143,0,0.7143,0,0.7143,0,0.7143,0.2,0.7714,0.3333,0.8095,0.3333,0.8095,1,7,0.0239,485.5781
3,1,1,1,1,1,0.6667,0.9048,0.5,0.8571,0.6,0.8857,0.6667,0.9048,0.6667,0.9048,1,7,0.0289,479.6102
3,2,0,0.7143,0,0.7143,0.3333,0.8095,0.25,0.7857,0.2,0.7714,0.1667,0.7619,0.1667,0.7619,1,7,0.025,477.2696
3,4,0,0.7143,0,0.7143,0.3333,0.8095,0.5,0.8571,0.6,0.8857,0.6667,0.9048,0.6667,0.9048,1,7,0.0164,486.8716
3,5,0,0.7143,0,0.7143,0,0.7143,0,0.7143,0,0.7143,0.1667,0.7619,0.1667,0.7619,1,7,0.0163,484.7519
3,6,0,0.7143,0,0.7143,0,0.7143,0,0.7143,0.2,0.7714,0.3333,0.8095,0.3333,0.8095,1,7,0.0175,480.3557
3,7,0,0.7143,0.5,0.8571,0.3333,0.8095,0.5,0.8571,0.6,0.8857,0.6667,0.9048,0.6667,0.9048,1,7,0.0264,482.7697
4,0,0,0.7143,0,0.7143,0,0.7143,0,0.7143,0.2,0.7714,0.3333,0.8095,0.3333,0.8095,1,7,0.0169,353.8759
4,1,0,0.7143,0,0.7143,0.3333,0.8095,0.5,0.8571,0.6,0.8857,0.6667,0.9048,0.6667,0.9048,1,7,0.0188,356.0031
4,2,0,0.7143,0,0.7143,0,0.7143,0,0.7143,0,0.7143,0,0.7143,0,0.7143,1,7,0.0189,378.904
4,3,0,0.7143,0.5,0.8571,0.6667,0.9048,0.75,0.9286,0.8,0.9429,0.8333,0.9524,0.8333,0.9524,1,7,0.0179,370.374
4,5,0,0.7143,0,0.7143,0,0.7143,0.25,0.7857,0.4,0.8286,0.5,0.8571,0.5,0.8571,1,7,0.017,376.2
4,6,0,0.7143,0,0.7143,0,0.7143,0,0.7143,0,0.7143,0.1667,0.7619,0.1667,0.7619,1,7,0.0247,371.5535
