Initial,Goal,PPV_1,ACC_1,PPV_2,ACC_2,PPV_3,ACC_3,PPV_4,ACC_4,PPV_5,ACC_5,PPV_6,ACC_6,PPV_total,ACC_total,spread,planner_calls,online_time,offline_time
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0.0467,111.0993
0,2,0,0.75,0,0.75,0,0.75,0,0.75,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,7,0.048,160.7069
0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0.051,179.5911
0,4,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0.1667,0.7917,0.1667,0.7917,1,7,0.0517,107.6295
0,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0.0478,143.8274
0,6,0,0.75,0,0.75,0,0.75,0,0.75,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,7,0.0479,136.1772
0,7,0,0.75,0,0.75,0,0.75,0.25,0.8125,0.4,0.85,0.5,0.875,0.5,0.875,1,7,0.0472,141.8468
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0.0343,153.2191
1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0.0479,160.8231
1,3,0,0.75,0.5,0.875,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.8333,0.9583,0.8333,0.9583,1,7,0.0479,139.0864
1,4,0,0.75,0.5,0.875,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.8333,0.9583,0.8333,0.9583,1,7,0.0487,145.4387
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0.048,159.9397
1,6,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0.1667,0.7917,0.1667,0.7917,1,7,0.0528,158.711
1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0.0479,160.2775
2,0,0,0.75,0,0.75,0.3333,0.8333,0.5,0.875,0.6,0.9,0.6667,0.9167,0.6667,0.9167,1,7,0.0482,153.0741
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0.0465,150.7837
2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0.0464,149.6964
2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0.0464,151.8153
2,5,0,0.75,0,0.75,0.3333,0.8333,0.25,0.8125,0.4,0.85,0.5,0.875,0.5,0.875,1,7,0.0473,135.178
2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0.0467,152.8205
