Initial,Goal,PPV_1,ACC_1,PPV_2,ACC_2,PPV_3,ACC_3,PPV_4,ACC_4,PPV_5,ACC_5,PPV_6,ACC_6,PPV_total,ACC_total,spread,planner_calls,online_time,offline_time
0,1,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,1,49,7521.6131,1911.6296
0,2,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,1,49,5149.7231,1911.6296
0,3,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,1,49,6004.3115,1911.6296
0,4,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,1,49,6959.1568,1911.6296
0,5,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,1,49,8775.8696,1911.6296
0,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,49,5473.0371,1911.6296
0,7,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,1,49,4482.3973,1911.6296
1,0,0,0.75,0,0.75,0,0.75,0,0.75,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,49,7485.2042,4174.0733
1,2,1,1,1,1,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.8333,0.9583,0.8333,0.9583,1,49,5599.3924,4174.0733
1,3,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,1,49,8145.1343,4174.0733
1,4,0,0.75,0,0.75,0.3333,0.8333,0.25,0.8125,0.4,0.85,0.5,0.875,0.5,0.875,1,49,4490.6942,4174.0733
1,5,1,1,1,1,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.8333,0.9583,0.8333,0.9583,1,49,4869.8023,4174.0733
1,6,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,1,49,4588.2926,4174.0733
1,7,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,1,49,6192.6298,4174.0733
2,0,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0.1667,0.7917,0.1667,0.7917,1,49,5722.3529,1745.0056
2,1,0,0.75,0,0.75,0,0.75,0,0.75,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,49,6201.8422,1745.0056
2,3,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,1,49,9033.3055,1745.0056
2,4,0,0.75,0,0.75,0.3333,0.8333,0.5,0.875,0.6,0.9,0.6667,0.9167,0.6667,0.9167,1,49,7664.461,1745.0056
2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,49,14400.2265,1745.0056
2,6,0,0.75,0,0.75,0,0.75,0.25,0.8125,0.2,0.8,0.1667,0.7917,0.1667,0.7917,1,49,6846.9807,1745.0056
2,7,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,1,49,7242.6583,1745.0056
3,0,0,0.75,0,0.75,0,0.75,0,0.75,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,49,5634.2864,1341.4153
3,1,0,0.75,0.5,0.875,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.8333,0.9583,0.8333,0.9583,1,49,19828.1783,1341.4153
3,2,0,0.75,0,0.75,0,0.75,0,0.75,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,49,4676.1194,1341.4153
3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,49,6125.3129,1341.4153
3,5,0,0.75,0,0.75,0,0.75,0,0.75,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,49,7925.6044,1341.4153
3,6,1,1,1,1,0.6667,0.9167,0.5,0.875,0.4,0.85,0.3333,0.8333,0.3333,0.8333,1,49,4357.05,1341.4153
3,7,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,1,49,6216.1757,1341.4153
4,0,1,1,0.5,0.875,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.8333,0.9583,0.8333,0.9583,1,49,6500.3217,1683.1784
4,1,1,1,1,1,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.8333,0.9583,0.8333,0.9583,1,49,4016.979,1683.1784
4,2,0,0.75,0,0.75,0.3333,0.8333,0.5,0.875,0.6,0.9,0.6667,0.9167,0.6667,0.9167,1,49,13717.6149,1683.1784
4,3,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,1,49,4235.2567,1683.1784
4,5,0,0.75,0,0.75,0,0.75,0,0.75,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,49,4388.0253,1683.1784
4,6,0,0.75,0,0.75,0,0.75,0,0.6875,0,0.7,0,0.7083,0,0.7083,1.3333,49,9688.5386,1683.1784
4,7,1,1,0.5,0.875,0.3333,0.8333,0.25,0.8125,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,49,7202.4208,1683.1784
5,0,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,1,49,7011.3963,1772.1676
5,1,0,0.75,0,0.75,0,0.75,0,0.75,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,49,15937.8451,1772.1676
5,2,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,1,49,8900.5767,1772.1676
5,3,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,1,49,10496.4157,1772.1676
5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,49,5744.6455,1772.1676
5,6,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,1,49,8768.8021,1772.1676
5,7,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,1,49,8017.3044,1772.1676
6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,49,4694.5091,860.1589
6,1,0,0.75,0,0.75,0,0.75,0.25,0.8125,0.4,0.85,0.5,0.875,0.5,0.875,1,49,4525.6128,860.1589
6,2,1,1,1,1,1,1,1,1,0.8,0.95,0.8333,0.9583,0.8333,0.9583,1,49,13909.2629,860.1589
6,3,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,1,49,3921.0418,860.1589
6,4,0,0.75,0.5,0.875,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.8333,0.9583,0.8333,0.9583,1,49,8664.9618,860.1589
6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,49,5204.9029,860.1589
6,7,0.3333,0.75,0.25,0.75,0.2,0.75,0.1667,0.75,0.1429,0.75,0.125,0.75,0.125,0.75,1.3333,49,6092.8913,860.1589
7,0,0,0.75,0.5,0.875,0.3333,0.8333,0.25,0.8125,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,49,3935.175,435.2313
7,1,0,0.75,0.5,0.875,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.8333,0.9583,0.8333,0.9583,1,49,3585.4714,435.2313
7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,49,5646.6341,435.2313
7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,49,6210.1994,435.2313
7,4,0,0.75,0.5,0.875,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.8333,0.9583,0.8333,0.9583,1,49,6413.5139,435.2313
7,5,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0.1667,0.7917,0.1667,0.7917,1,49,5322.155,435.2313
7,6,0,0.75,0.5,0.875,0.3333,0.8333,0.25,0.8125,0.4,0.85,0.5,0.875,0.5,0.875,1,49,3372.6376,435.2313
,,0.273808928571429,0.816964285714286,0.308035714285714,0.825892857142857,0.307144642857143,0.825894642857143,0.324405357142857,0.829241071428571,0.359694642857143,0.838392857142858,0.398057142857143,0.848205357142857,0.398057142857143,0.848205357142857,1.01190357142857,49,7031.01650535714,1740.3575
