Initial,Goal,PPV_1,ACC_1,PPV_2,ACC_2,PPV_3,ACC_3,PPV_4,ACC_4,PPV_5,ACC_5,PPV_6,ACC_6,PPV_total,ACC_total,spread,planner_calls,online_time,offline_time,TPR,FPR,F1-Score
0.0000,1.0000,0.0000,0.7500,0.5000,0.8750,0.6667,0.9167,0.5000,0.8750,0.4000,0.8500,0.5000,0.8750,0.5000,0.8750,1.0000,7.0000,0.0393,133.9700,0.5,0.07142857142857142,0.5
0.0000,2.0000,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.1667,0.7917,0.1667,0.7917,1.0000,7.0000,0.0420,134.8536,0.16666666666666666,0.11904761904761904,0.16666666666666666
0.0000,3.0000,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.2000,0.8000,0.3333,0.8333,0.3333,0.8333,1.0000,7.0000,0.0367,132.8977,0.3333333333333333,0.09523809523809523,0.3333333333333333
0.0000,4.0000,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.2500,0.8125,0.4000,0.8500,0.5000,0.8750,0.5000,0.8750,1.0000,7.0000,0.0381,133.6694,0.5,0.07142857142857142,0.5
0.0000,5.0000,1.0000,1.0000,0.5000,0.8750,0.3333,0.8333,0.5000,0.8750,0.6000,0.9000,0.6667,0.9167,0.6667,0.9167,1.0000,7.0000,0.0426,131.5351,0.6666666666666666,0.047619047619047616,0.6666666666666666
0.0000,6.0000,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,1.0000,7.0000,0.0445,132.8648,0.0,0.14285714285714285,0.0
0.0000,7.0000,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.1667,0.7917,0.1667,0.7917,1.0000,7.0000,0.0647,135.2082,0.16666666666666666,0.11904761904761904,0.16666666666666666
1.0000,0.0000,1.0000,1.0000,0.5000,0.8750,0.3333,0.8333,0.2500,0.8125,0.4000,0.8500,0.3333,0.8333,0.3333,0.8333,1.0000,7.0000,0.0333,147.7665,0.3333333333333333,0.09523809523809523,0.3333333333333333
1.0000,2.0000,1.0000,1.0000,0.5000,0.8750,0.3333,0.8333,0.2500,0.8125,0.2000,0.8000,0.1667,0.7917,0.1667,0.7917,1.0000,7.0000,0.0371,148.0783,0.16666666666666666,0.11904761904761904,0.16666666666666666
1.0000,3.0000,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.1667,0.7917,0.1667,0.7917,1.0000,7.0000,0.0363,146.2062,0.16666666666666666,0.11904761904761904,0.16666666666666666
1.0000,4.0000,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.2000,0.8000,0.3333,0.8333,0.3333,0.8333,1.0000,7.0000,0.0443,156.7989,0.3333333333333333,0.09523809523809523,0.3333333333333333
1.0000,5.0000,0.0000,0.6250,0.0000,0.6250,0.0000,0.6667,0.0000,0.6875,0.1429,0.7500,0.2500,0.7917,0.2500,0.7917,1.3333,7.0000,0.0496,152.9101,0.3333333333333333,0.14285714285714285,0.2857142857142857
1.0000,6.0000,1.0000,1.0000,0.5000,0.8750,0.3333,0.8333,0.2500,0.8125,0.2000,0.8000,0.1667,0.7917,0.1667,0.7917,1.0000,7.0000,0.0666,157.5567,0.16666666666666666,0.11904761904761904,0.16666666666666666
1.0000,7.0000,0.0000,0.7500,0.0000,0.7500,0.3333,0.8333,0.5000,0.8750,0.4000,0.8500,0.3333,0.8333,0.3333,0.8333,1.0000,7.0000,0.0387,151.9666,0.3333333333333333,0.09523809523809523,0.3333333333333333
2.0000,0.0000,0.3333,0.7500,0.2500,0.7500,0.4000,0.8333,0.5000,0.8750,0.5714,0.9000,0.6250,0.9167,0.6250,0.9167,1.3333,7.0000,0.0398,153.0304,0.8333333333333334,0.07142857142857142,0.7142857142857143
2.0000,1.0000,0.3333,0.7500,0.3333,0.7500,0.4286,0.8333,0.3750,0.8125,0.3333,0.8000,0.3000,0.7917,0.3000,0.7917,1.6667,7.0000,0.0499,153.1181,0.5,0.16666666666666666,0.375
2.0000,3.0000,0.0000,0.5000,0.2500,0.7500,0.2000,0.7500,0.1667,0.7500,0.2857,0.8000,0.3750,0.8333,0.3750,0.8333,1.3333,7.0000,0.0561,153.4344,0.5,0.11904761904761904,0.42857142857142855
