Initial,Goal,PPV_1,ACC_1,PPV_2,ACC_2,PPV_3,ACC_3,PPV_4,ACC_4,PPV_5,ACC_5,PPV_6,ACC_6,PPV_total,ACC_total,spread,planner_calls,online_time,offline_time,TPR,FPR,F1-Score
0.0000,1.0000,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.1667,0.7917,0.1667,0.7917,1.0000,7.0000,0.0602,72.9840,0.16666666666666666,0.11904761904761904,0.16666666666666666
0.0000,2.0000,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.2500,0.8125,0.2000,0.8000,0.1667,0.7917,0.1667,0.7917,1.0000,7.0000,1.1558,71.6739,0.16666666666666666,0.11904761904761904,0.16666666666666666
0.0000,3.0000,0.0000,0.7500,0.5000,0.8750,0.6667,0.9167,0.5000,0.8750,0.4000,0.8500,0.5000,0.8750,0.5000,0.8750,1.0000,7.0000,0.0322,73.2554,0.5,0.07142857142857142,0.5
0.0000,4.0000,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.1667,0.7917,0.1667,0.7917,1.0000,7.0000,0.0299,72.8518,0.16666666666666666,0.11904761904761904,0.16666666666666666
0.0000,5.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.9167,0.5000,0.8750,0.4000,0.8500,0.3333,0.8333,0.3333,0.8333,1.0000,7.0000,1.1511,71.6724,0.3333333333333333,0.09523809523809523,0.3333333333333333
0.0000,6.0000,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.2000,0.8000,0.1667,0.7917,0.1667,0.7917,1.0000,7.0000,0.0552,72.9721,0.16666666666666666,0.11904761904761904,0.16666666666666666
0.0000,7.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,7.0000,0.0342,73.2540,1.0,0.0,1.0
1.0000,0.0000,0.5000,0.8750,0.6667,0.9375,0.7500,0.9583,0.8000,0.9688,0.8333,0.9750,0.8571,0.9792,0.8571,0.9792,1.1667,7.0000,0.0368,96.9160,1.0,0.023809523809523808,0.9230769230769231
1.0000,2.0000,0.0000,0.7500,0.0000,0.7500,0.3333,0.8333,0.5000,0.8750,0.6000,0.9000,0.6667,0.9167,0.6667,0.9167,1.0000,7.0000,0.0369,96.6486,0.6666666666666666,0.047619047619047616,0.6666666666666666
1.0000,3.0000,0.5000,0.8750,0.6667,0.9375,0.7500,0.9583,0.8000,0.9688,0.8333,0.9750,0.8571,0.9792,0.8571,0.9792,1.1667,7.0000,0.0258,97.0958,1.0,0.023809523809523808,0.9230769230769231
1.0000,4.0000,0.0000,0.7500,0.0000,0.6875,0.0000,0.7083,0.0000,0.7188,0.0000,0.7250,0.1429,0.7708,0.1429,0.7708,1.1667,7.0000,0.0309,94.8052,0.16666666666666666,0.14285714285714285,0.15384615384615385
1.0000,5.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,7.0000,0.0267,95.0036,1.0,0.0,1.0
1.0000,6.0000,0.0000,0.6250,0.0000,0.6875,0.0000,0.7083,0.0000,0.7188,0.0000,0.7250,0.0000,0.7292,0.0000,0.7292,1.1667,7.0000,0.0319,94.9680,0.0,0.16666666666666666,0.0
1.0000,7.0000,0.0000,0.6250,0.0000,0.6250,0.0000,0.6667,0.0000,0.6875,0.1429,0.7500,0.1250,0.7500,0.1250,0.7500,1.3333,7.0000,0.0289,95.0093,0.16666666666666666,0.16666666666666666,0.14285714285714285
2.0000,0.0000,1.0000,1.0000,0.5000,0.8750,0.6667,0.9167,0.7500,0.9375,0.8000,0.9500,0.8333,0.9583,0.8333,0.9583,1.0000,7.0000,0.0274,137.9623,0.8333333333333334,0.023809523809523808,0.8333333333333334
2.0000,1.0000,0.0000,0.7500,0.0000,0.7500,0.3333,0.8333,0.5000,0.8750,0.6000,0.9000,0.6667,0.9167,0.6667,0.9167,1.0000,7.0000,0.0349,137.7878,0.6666666666666666,0.047619047619047616,0.6666666666666666
2.0000,3.0000,0.0000,0.7500,0.0000,0.7500,0.3333,0.8333,0.2500,0.8125,0.2000,0.8000,0.3333,0.8333,0.3333,0.8333,1.0000,7.0000,0.0261,137.7712,0.3333333333333333,0.09523809523809523,0.3333333333333333
2.0000,4.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,7.0000,0.0266,137.7461,1.0,0.0,1.0
2.0000,5.0000,0.1667,0.3750,0.2857,0.6875,0.3750,0.7917,0.4444,0.8438,0.5000,0.8750,0.5455,0.8958,0.5455,0.8958,1.8333,7.0000,0.0269,138.2089,1.0,0.11904761904761904,0.7058823529411765
2.0000,6.0000,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.2000,0.8000,0.3333,0.8333,0.3333,0.8333,1.0000,7.0000,0.0420,137.9014,0.3333333333333333,0.09523809523809523,0.3333333333333333
2.0000,7.0000,0.0000,0.7500,0.0000,0.7500,0.3333,0.8333,0.2500,0.8125,0.2000,0.8000,0.3333,0.8333,0.3333,0.8333,1.0000,7.0000,0.0437,138.7074,0.3333333333333333,0.09523809523809523,0.3333333333333333
3.0000,0.0000,0.0000,0.7500,0.5000,0.8750,0.6667,0.9167,0.5000,0.8750,0.6000,0.9000,0.6667,0.9167,0.6667,0.9167,1.0000,7.0000,0.0326,53.2085,0.6666666666666666,0.047619047619047616,0.6666666666666666
3.0000,1.0000,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.2000,0.8000,0.1667,0.7917,0.1667,0.7917,1.0000,7.0000,0.0322,53.0657,0.16666666666666666,0.11904761904761904,0.16666666666666666
3.0000,2.0000,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,1.0000,7.0000,0.0346,53.0697,0.0,0.14285714285714285,0.0
