Initial,Goal,PPV_1,ACC_1,PPV_2,ACC_2,PPV_3,ACC_3,PPV_4,ACC_4,PPV_5,ACC_5,PPV_6,ACC_6,PPV_total,ACC_total,spread,planner_calls,online_time,offline_time,TPR,FPR,F1-Score
0.0000,1.0000,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.2000,0.8000,0.3333,0.8333,0.3333,0.8333,1.0000,7.0000,0.0535,98.1439,0.3333333333333333,0.09523809523809523,0.3333333333333333
0.0000,2.0000,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,1.0000,7.0000,0.0424,97.9516,0.0,0.14285714285714285,0.0
0.0000,3.0000,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,1.0000,7.0000,0.0350,97.8658,0.0,0.14285714285714285,0.0
0.0000,4.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,7.0000,0.0513,98.1587,1.0,0.0,1.0
0.0000,5.0000,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,1.0000,7.0000,0.0352,98.0721,0.0,0.14285714285714285,0.0
0.0000,6.0000,0.0000,0.7500,0.5000,0.8750,0.6667,0.9167,0.5000,0.8750,0.4000,0.8500,0.5000,0.8750,0.5000,0.8750,1.0000,7.0000,0.0390,97.9488,0.5,0.07142857142857142,0.5
0.0000,7.0000,0.0000,0.7500,0.5000,0.8750,0.3333,0.8333,0.2500,0.8125,0.4000,0.8500,0.3333,0.8333,0.3333,0.8333,1.0000,7.0000,0.0273,98.4174,0.3333333333333333,0.09523809523809523,0.3333333333333333
1.0000,0.0000,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.1667,0.7917,0.1667,0.7917,1.0000,7.0000,0.0364,101.8354,0.16666666666666666,0.11904761904761904,0.16666666666666666
1.0000,2.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,7.0000,0.0261,101.5590,1.0,0.0,1.0
1.0000,3.0000,0.0000,0.6250,0.0000,0.6875,0.0000,0.7083,0.2000,0.7812,0.1667,0.7750,0.1429,0.7708,0.1429,0.7708,1.1667,7.0000,0.0313,102.0814,0.16666666666666666,0.14285714285714285,0.15384615384615385
1.0000,4.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,7.0000,0.0350,109.8515,1.0,0.0,1.0
1.0000,5.0000,0.5000,0.8750,0.5000,0.8750,0.6000,0.9167,0.5000,0.8750,0.5714,0.9000,0.5000,0.8750,0.5000,0.8750,1.3333,7.0000,0.0344,110.4654,0.6666666666666666,0.09523809523809523,0.5714285714285714
1.0000,6.0000,0.5000,0.8750,0.3333,0.8125,0.5000,0.8750,0.6000,0.9062,0.6667,0.9250,0.7143,0.9375,0.7143,0.9375,1.1667,7.0000,0.0396,109.9308,0.8333333333333334,0.047619047619047616,0.7692307692307693
1.0000,7.0000,0.0000,0.6250,0.0000,0.6875,0.0000,0.7083,0.0000,0.7188,0.0000,0.7250,0.1429,0.7708,0.1429,0.7708,1.1667,7.0000,0.0365,110.8214,0.16666666666666666,0.14285714285714285,0.15384615384615385
2.0000,0.0000,0.0000,0.7500,0.0000,0.7500,0.3333,0.8333,0.5000,0.8750,0.4000,0.8500,0.5000,0.8750,0.5000,0.8750,1.0000,7.0000,0.0350,102.3902,0.5,0.07142857142857142,0.5
2.0000,1.0000,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,1.0000,7.0000,0.0296,101.3934,0.0,0.14285714285714285,0.0
2.0000,3.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.9167,0.7500,0.9375,0.8000,0.9500,0.8333,0.9583,0.8333,0.9583,1.0000,7.0000,0.0417,101.8560,0.8333333333333334,0.023809523809523808,0.8333333333333334
2.0000,4.0000,1.0000,1.0000,0.5000,0.8750,0.3333,0.8333,0.2500,0.8125,0.2000,0.8000,0.1667,0.7917,0.1667,0.7917,1.0000,7.0000,0.0391,103.3102,0.16666666666666666,0.11904761904761904,0.16666666666666666
2.0000,5.0000,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,1.0000,7.0000,0.0527,102.6308,0.0,0.14285714285714285,0.0
2.0000,6.0000,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.1667,0.7917,0.1667,0.7917,1.0000,7.0000,0.0380,102.7517,0.16666666666666666,0.11904761904761904,0.16666666666666666
2.0000,7.0000,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,1.0000,7.0000,0.0258,99.9737,0.0,0.14285714285714285,0.0
3.0000,0.0000,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.1667,0.7917,0.1667,0.7917,1.0000,7.0000,0.0316,85.3422,0.16666666666666666,0.11904761904761904,0.16666666666666666
3.0000,1.0000,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,1.0000,7.0000,0.0216,84.9465,0.0,0.14285714285714285,0.0
3.0000,2.0000,1.0000,1.0000,0.5000,0.8750,0.3333,0.8333,0.2500,0.8125,0.2000,0.8000,0.1667,0.7917,0.1667,0.7917,1.0000,7.0000,0.0384,83.6938,0.16666666666666666,0.11904761904761904,0.16666666666666666
3.0000,4.0000,0.0000,0.7500,0.0000,0.7500,0.3333,0.8333,0.5000,0.8750,0.4000,0.8500,0.5000,0.8750,0.5000,0.8750,1.0000,7.0000,0.0256,83.2610,0.5,0.07142857142857142,0.5
3.0000,5.0000,0.0000,0.7500,0.0000,0.7500,0.0000,0.7083,0.0000,0.7188,0.0000,0.7250,0.0000,0.7292,0.0000,0.7292,1.1667,7.0000,0.0325,83.7210,0.0,0.16666666666666666,0.0
3.0000,6.0000,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.2000,0.8000,0.3333,0.8333,0.3333,0.8333,1.0000,7.0000,0.0269,83.3222,0.3333333333333333,0.09523809523809523,0.3333333333333333
3.0000,7.0000,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.2000,0.8000,0.3333,0.8333,0.3333,0.8333,1.0000,7.0000,0.0266,83.3446,0.3333333333333333,0.09523809523809523,0.3333333333333333
4.0000,0.0000,0.0000,0.6250,0.0000,0.6875,0.0000,0.7083,0.0000,0.7188,0.1667,0.7750,0.2857,0.8125,0.2857,0.8125,1.1667,7.0000,0.0252,99.3904,0.3333333333333333,0.11904761904761904,0.3076923076923077
4.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8333,0.9583,0.8333,0.9583,1.0000,7.0000,0.0314,99.2731,0.8333333333333334,0.023809523809523808,0.8333333333333334
4.0000,2.0000,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.2500,0.8125,0.4000,0.8500,0.5000,0.8750,0.5000,0.8750,1.0000,7.0000,0.0240,99.4585,0.5,0.07142857142857142,0.5
4.0000,3.0000,1.0000,1.0000,0.5000,0.8750,0.3333,0.8333,0.2500,0.8125,0.2000,0.8000,0.1667,0.7917,0.1667,0.7917,1.0000,7.0000,0.0330,99.4011,0.16666666666666666,0.11904761904761904,0.16666666666666666
4.0000,5.0000,0.0000,0.7500,0.0000,0.7500,0.3333,0.8333,0.2500,0.8125,0.2000,0.8000,0.1667,0.7917,0.1667,0.7917,1.0000,7.0000,0.0251,99.8641,0.16666666666666666,0.11904761904761904,0.16666666666666666
4.0000,6.0000,0.0000,0.7500,0.0000,0.7500,0.3333,0.8333,0.5000,0.8750,0.4000,0.8500,0.3333,0.8333,0.3333,0.8333,1.0000,7.0000,0.0289,99.9092,0.3333333333333333,0.09523809523809523,0.3333333333333333
4.0000,7.0000,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,1.0000,7.0000,0.0227,99.7670,0.0,0.14285714285714285,0.0
5.0000,0.0000,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.2000,0.8000,0.3333,0.8333,0.3333,0.8333,1.0000,7.0000,0.0353,112.4472,0.3333333333333333,0.09523809523809523,0.3333333333333333
5.0000,1.0000,0.0000,0.7500,0.0000,0.7500,0.3333,0.8333,0.2500,0.8125,0.4000,0.8500,0.3333,0.8333,0.3333,0.8333,1.0000,7.0000,0.0265,114.2467,0.3333333333333333,0.09523809523809523,0.3333333333333333
5.0000,2.0000,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,1.0000,7.0000,0.0352,112.2281,0.0,0.14285714285714285,0.0
5.0000,3.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,7.0000,0.0265,110.2162,1.0,0.0,1.0
5.0000,4.0000,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,1.0000,7.0000,0.0230,110.0207,0.0,0.14285714285714285,0.0
5.0000,6.0000,0.0000,0.7500,0.0000,0.7500,0.3333,0.8333,0.5000,0.8750,0.6000,0.9000,0.6667,0.9167,0.6667,0.9167,1.0000,7.0000,0.0319,111.8963,0.6666666666666666,0.047619047619047616,0.6666666666666666
5.0000,7.0000,0.0000,0.7500,0.0000,0.7500,0.3333,0.8333,0.5000,0.8750,0.6000,0.9000,0.6667,0.9167,0.6667,0.9167,1.0000,7.0000,0.0245,111.5856,0.6666666666666666,0.047619047619047616,0.6666666666666666
6.0000,0.0000,0.0000,0.6250,0.0000,0.6875,0.0000,0.7083,0.0000,0.7188,0.0000,0.7250,0.0000,0.7292,0.0000,0.7292,1.1667,7.0000,0.0326,89.6309,0.0,0.16666666666666666,0.0
6.0000,1.0000,0.0000,0.6250,0.0000,0.6875,0.0000,0.7083,0.0000,0.7188,0.0000,0.7250,0.0000,0.7292,0.0000,0.7292,1.1667,7.0000,0.0360,89.6577,0.0,0.16666666666666666,0.0
6.0000,2.0000,0.0000,0.6250,0.0000,0.6875,0.0000,0.7083,0.0000,0.7188,0.0000,0.7250,0.1429,0.7708,0.1429,0.7708,1.1667,7.0000,0.0314,90.0237,0.16666666666666666,0.14285714285714285,0.15384615384615385
6.0000,3.0000,0.5000,0.8750,0.6667,0.9375,0.5000,0.8750,0.4000,0.8438,0.3333,0.8250,0.4286,0.8542,0.4286,0.8542,1.1667,7.0000,0.0302,91.7651,0.5,0.09523809523809523,0.46153846153846156
6.0000,4.0000,0.0000,0.6250,0.3333,0.8125,0.5000,0.8750,0.6000,0.9062,0.6667,0.9250,0.5714,0.8958,0.5714,0.8958,1.1667,7.0000,0.0344,90.1630,0.6666666666666666,0.07142857142857142,0.6153846153846154
6.0000,5.0000,0.5000,0.8750,0.5000,0.8750,0.4000,0.8333,0.5000,0.8750,0.5714,0.9000,0.6250,0.9167,0.6250,0.9167,1.3333,7.0000,0.0244,90.1102,0.8333333333333334,0.07142857142857142,0.7142857142857143
6.0000,7.0000,0.0000,0.6250,0.0000,0.6250,0.0000,0.6250,0.0000,0.6562,0.0000,0.6750,0.0000,0.6875,0.0000,0.6875,1.5000,7.0000,0.0218,90.2198,0.0,0.21428571428571427,0.0
7.0000,0.0000,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,1.0000,7.0000,0.0256,102.2459,0.0,0.14285714285714285,0.0
7.0000,1.0000,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,1.0000,7.0000,0.0326,92.1993,0.0,0.14285714285714285,0.0
7.0000,2.0000,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.1667,0.7917,0.1667,0.7917,1.0000,7.0000,0.0143,92.3573,0.16666666666666666,0.11904761904761904,0.16666666666666666
7.0000,3.0000,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.2500,0.8125,0.4000,0.8500,0.5000,0.8750,0.5000,0.8750,1.0000,7.0000,0.0134,91.8902,0.5,0.07142857142857142,0.5
7.0000,4.0000,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,1.0000,7.0000,0.0133,86.6241,0.0,0.14285714285714285,0.0
7.0000,5.0000,0.0000,0.7500,0.0000,0.7500,0.0000,0.7500,0.2500,0.8125,0.4000,0.8500,0.3333,0.8333,0.3333,0.8333,1.0000,7.0000,0.0123,86.0811,0.3333333333333333,0.09523809523809523,0.3333333333333333
7.0000,6.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,7.0000,0.0116,85.9224,1.0,0.0,1.0
