Initial,Goal,PPV_1,ACC_1,PPV_2,ACC_2,PPV_3,ACC_3,PPV_4,ACC_4,PPV_5,ACC_5,PPV_6,ACC_6,PPV_total,ACC_total,spread,planner_calls,online_time,offline_time
0,1,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,1,49,6272.4209,3114.7051
0,2,1,1,0.5,0.875,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.8333,0.9583,0.8333,0.9583,1,49,13694.8599,3114.7051
0,3,0,0.75,0,0.75,0,0.75,0,0.75,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,49,13840.2625,3114.7051
0,4,0,0.75,0.5,0.875,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.8333,0.9583,0.8333,0.9583,1,49,13940.1672,3114.7051
0,5,0,0.75,0,0.75,0.3333,0.8333,0.5,0.875,0.4,0.85,0.5,0.875,0.5,0.875,1,49,30684.3259,3114.7051
0,6,0,0.75,0.5,0.875,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.8333,0.9583,0.8333,0.9583,1,49,12200.1028,3114.7051
0,7,0,0.75,0.5,0.875,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.8333,0.9583,0.8333,0.9583,1,49,10126.2594,3114.7051
1,0,1,1,1,1,1,1,0.75,0.9375,0.6,0.9,0.5,0.875,0.5,0.875,1,49,8966.8482,936.9922
1,2,0,0.75,0.5,0.875,0.6667,0.9167,0.75,0.9375,0.6,0.9,0.5,0.875,0.5,0.875,1,49,22696.4891,936.9922
1,3,0,0.75,0.5,0.875,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.6667,0.9167,0.6667,0.9167,1,49,15892.6753,936.9922
1,4,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0.1667,0.7917,0.1667,0.7917,1,49,10933.3218,936.9922
1,5,0,0.75,0,0.75,0,0.75,0.25,0.8125,0.4,0.85,0.5,0.875,0.5,0.875,1,49,13087.4111,936.9922
1,6,0,0.75,0.5,0.875,0.6667,0.9167,0.75,0.9375,0.8,0.95,0.6667,0.9167,0.6667,0.9167,1,49,26544.0798,936.9922
1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,49,20510.2289,936.9922
2,0,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,1,49,13493.2202,4776.5849
2,1,0,0.75,0,0.75,0.3333,0.8333,0.25,0.8125,0.2,0.8,0.1667,0.7917,0.1667,0.7917,1,49,12752.2699,4776.5849
2,3,0,0.75,0,0.75,0,0.75,0,0.75,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,49,8116.6526,4776.5849
2,4,0,0.75,0,0.75,0,0.75,0,0.75,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,49,7632.9113,4776.5849
2,5,0,0.75,0,0.75,0.3333,0.8333,0.25,0.8125,0.4,0.85,0.5,0.875,0.5,0.875,1,49,12935.3932,4776.5849
2,6,1,1,1,1,0.6667,0.9167,0.75,0.9375,0.6,0.9,0.6667,0.9167,0.6667,0.9167,1,49,15574.1268,4776.5849
2,7,0,0.75,0,0.75,0,0.75,0,0.75,0.2,0.8,0.3333,0.8333,0.3333,0.8333,1,49,7539.0303,4776.5849
3,0,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,1,49,15739.1007,3210.6017
3,1,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,0,0.75,1,49,17277.7926,3210.6017
3,2,0,0.75,0,0.75,0,0.75,0.25,0.8125,0.4,0.85,0.3333,0.8333,0.3333,0.8333,1,49,20160.6646,3210.6017
3,4,0,0.75,0.5,0.875,0.3333,0.8333,0.5,0.875,0.6,0.9,0.6667,0.9167,0.6667,0.9167,1,49,14296.3267,3210.6017
3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,49,11295.1727,3210.6017
3,6,0,0.75,0,0.75,0.3333,0.8333,0.5,0.875,0.6,0.9,0.6667,0.9167,0.6667,0.9167,1,49,9943.3425,3210.6017
3,7,0,0.75,0,0.75,0,0.75,0.25,0.8125,0.4,0.85,0.5,0.875,0.5,0.875,1,49,20836.3887,3210.6017
