Initial,Goal,PPV_1,ACC_1,TPR_1,FPR_1,F1-Score_1,PPV_2,ACC_2,TPR_2,FPR_2,F1-Score_2,PPV_3,ACC_3,TPR_3,FPR_3,F1-Score_3,PPV_4,ACC_4,TPR_4,FPR_4,F1-Score_4,PPV_5,ACC_5,TPR_5,FPR_5,F1-Score_5,PPV_6,ACC_6,TPR_6,FPR_6,F1-Score_6,PPV_total,ACC_total,spread,planner_calls,online_time,offline_time,TPR,FPR,F1-Score
0.0000,1.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,1.0000,7.0000,0.0470,160.8360,0.0,0.14285714285714285,0.0
0.0000,2.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,1.0000,7.0000,0.0484,161.2619,0.0,0.14285714285714285,0.0
0.0000,3.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.5000,0.8750,0.5000,0.0714,0.5000,0.6667,0.9167,0.6667,0.0476,0.6667,0.7500,0.9375,0.7500,0.0357,0.7500,0.8000,0.9500,0.8000,0.0286,0.8000,0.8333,0.9583,0.8333,0.0238,0.8333,0.8333,0.9583,1.0000,7.0000,0.0652,161.3795,0.8333333333333334,0.023809523809523808,0.8333333333333334
0.0000,4.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.3333,0.8333,0.3333,0.0952,0.3333,0.5000,0.8750,0.5000,0.0714,0.5000,0.6000,0.9000,0.6000,0.0571,0.6000,0.6667,0.9167,0.6667,0.0476,0.6667,0.6667,0.9167,1.0000,7.0000,0.0361,160.9564,0.6666666666666666,0.047619047619047616,0.6666666666666666
0.0000,5.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7083,0.0000,0.1905,0.0000,0.2000,0.7812,0.2500,0.1429,0.2222,0.3333,0.8250,0.4000,0.1143,0.3636,0.4286,0.8542,0.5000,0.0952,0.4615,0.4286,0.8542,1.1667,7.0000,0.0460,161.0770,0.5,0.09523809523809523,0.46153846153846156
0.0000,6.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7250,0.0000,0.1714,0.0000,0.1429,0.7708,0.1667,0.1429,0.1538,0.1429,0.7708,1.1667,7.0000,0.0396,161.1540,0.16666666666666666,0.14285714285714285,0.15384615384615385
0.0000,7.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.2000,0.8000,0.2000,0.1143,0.2000,0.3333,0.8333,0.3333,0.0952,0.3333,0.3333,0.8333,1.0000,7.0000,0.0469,160.9982,0.3333333333333333,0.09523809523809523,0.3333333333333333
1.0000,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.3333,0.8333,0.3333,0.0952,0.3333,0.5000,0.8750,0.5000,0.0714,0.5000,0.6000,0.9000,0.6000,0.0571,0.6000,0.6667,0.9167,0.6667,0.0476,0.6667,0.6667,0.9167,1.0000,7.0000,0.0532,151.2786,0.6666666666666666,0.047619047619047616,0.6666666666666666
1.0000,2.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,1.0000,7.0000,0.0373,160.9750,0.0,0.14285714285714285,0.0
1.0000,3.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,7.0000,0.0290,151.7155,1.0,0.0,1.0
1.0000,4.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.5000,0.8750,0.5000,0.0714,0.5000,0.6667,0.9167,0.6667,0.0476,0.6667,0.7500,0.9375,0.7500,0.0357,0.7500,0.8000,0.9500,0.8000,0.0286,0.8000,0.8333,0.9583,0.8333,0.0238,0.8333,0.8333,0.9583,1.0000,7.0000,0.0359,155.9454,0.8333333333333334,0.023809523809523808,0.8333333333333334
1.0000,5.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,7.0000,0.0387,155.4083,1.0,0.0,1.0
1.0000,6.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.2000,0.8000,0.2000,0.1143,0.2000,0.3333,0.8333,0.3333,0.0952,0.3333,0.3333,0.8333,1.0000,7.0000,0.0461,158.8475,0.3333333333333333,0.09523809523809523,0.3333333333333333
1.0000,7.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,1.0000,7.0000,0.0370,158.0902,0.0,0.14285714285714285,0.0
2.0000,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.2500,0.8125,0.2500,0.1071,0.2500,0.4000,0.8500,0.4000,0.0857,0.4000,0.5000,0.8750,0.5000,0.0714,0.5000,0.5000,0.8750,1.0000,7.0000,0.0440,149.3883,0.5,0.07142857142857142,0.5
2.0000,1.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.2000,0.8000,0.2000,0.1143,0.2000,0.3333,0.8333,0.3333,0.0952,0.3333,0.3333,0.8333,1.0000,7.0000,0.0633,149.0005,0.3333333333333333,0.09523809523809523,0.3333333333333333
2.0000,3.0000,1.0000,1.0000,1.0000,0.0000,1.0000,0.5000,0.8750,0.5000,0.0714,0.5000,0.6667,0.9167,0.6667,0.0476,0.6667,0.7500,0.9375,0.7500,0.0357,0.7500,0.8000,0.9500,0.8000,0.0286,0.8000,0.8333,0.9583,0.8333,0.0238,0.8333,0.8333,0.9583,1.0000,7.0000,0.0353,148.9197,0.8333333333333334,0.023809523809523808,0.8333333333333334
2.0000,4.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.5000,0.8750,0.5000,0.0714,0.5000,0.6667,0.9167,0.6667,0.0476,0.6667,0.7500,0.9375,0.7500,0.0357,0.7500,0.8000,0.9500,0.8000,0.0286,0.8000,0.8333,0.9583,0.8333,0.0238,0.8333,0.8333,0.9583,1.0000,7.0000,0.0440,151.3391,0.8333333333333334,0.023809523809523808,0.8333333333333334
2.0000,5.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,7.0000,0.0675,149.2502,1.0,0.0,1.0
2.0000,6.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,7.0000,0.0472,148.7702,1.0,0.0,1.0
2.0000,7.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,7.0000,0.0552,146.5155,1.0,0.0,1.0
3.0000,0.0000,0.0000,0.5000,0.0000,0.4286,0.0000,0.0000,0.6250,0.0000,0.2857,0.0000,0.0000,0.6667,0.0000,0.2381,0.0000,0.0000,0.6875,0.0000,0.2143,0.0000,0.0000,0.7000,0.0000,0.2000,0.0000,0.0000,0.7083,0.0000,0.1905,0.0000,0.0000,0.7083,1.3333,7.0000,0.0439,214.7895,0.0,0.19047619047619047,0.0
3.0000,1.0000,0.0000,0.6250,0.0000,0.2857,0.0000,0.0000,0.6250,0.0000,0.2857,0.0000,0.0000,0.6667,0.0000,0.2381,0.0000,0.0000,0.6875,0.0000,0.2143,0.0000,0.0000,0.7000,0.0000,0.2000,0.0000,0.1250,0.7500,0.1667,0.1667,0.1429,0.1250,0.7500,1.3333,7.0000,0.0448,212.9298,0.16666666666666666,0.16666666666666666,0.14285714285714285
3.0000,2.0000,0.0000,0.6250,0.0000,0.2857,0.0000,0.0000,0.6250,0.0000,0.2857,0.0000,0.0000,0.6667,0.0000,0.2381,0.0000,0.0000,0.6875,0.0000,0.2143,0.0000,0.0000,0.7000,0.0000,0.2000,0.0000,0.0000,0.7083,0.0000,0.1905,0.0000,0.0000,0.7083,1.3333,7.0000,0.0418,211.5777,0.0,0.19047619047619047,0.0
3.0000,4.0000,0.0000,0.5000,0.0000,0.4286,0.0000,0.0000,0.6250,0.0000,0.2857,0.0000,0.0000,0.6667,0.0000,0.2381,0.0000,0.0000,0.6875,0.0000,0.2143,0.0000,0.0000,0.7000,0.0000,0.2000,0.0000,0.1250,0.7500,0.1667,0.1667,0.1429,0.1250,0.7500,1.3333,7.0000,0.0308,210.5232,0.16666666666666666,0.16666666666666666,0.14285714285714285
3.0000,5.0000,0.0000,0.5000,0.0000,0.4286,0.0000,0.0000,0.6250,0.0000,0.2857,0.0000,0.0000,0.6667,0.0000,0.2381,0.0000,0.0000,0.6875,0.0000,0.2143,0.0000,0.0000,0.7000,0.0000,0.2000,0.0000,0.0000,0.7083,0.0000,0.1905,0.0000,0.0000,0.7083,1.3333,7.0000,0.0383,210.1418,0.0,0.19047619047619047,0.0
3.0000,6.0000,0.3333,0.7500,1.0000,0.2857,0.5000,0.3333,0.7500,1.0000,0.2857,0.5000,0.2857,0.7500,0.6667,0.2381,0.4000,0.2500,0.7500,0.5000,0.2143,0.3333,0.2222,0.7500,0.4000,0.2000,0.2857,0.2000,0.7500,0.3333,0.1905,0.2500,0.2000,0.7500,1.6667,7.0000,0.0365,212.7312,0.3333333333333333,0.19047619047619047,0.25
3.0000,7.0000,0.5000,0.8750,1.0000,0.1429,0.6667,0.6667,0.9375,1.0000,0.0714,0.8000,0.7500,0.9583,1.0000,0.0476,0.8571,0.8000,0.9688,1.0000,0.0357,0.8889,0.6667,0.9250,0.8000,0.0571,0.7273,0.5714,0.8958,0.6667,0.0714,0.6154,0.5714,0.8958,1.1667,7.0000,0.0452,209.1361,0.6666666666666666,0.07142857142857142,0.6153846153846154
4.0000,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.2000,0.8000,0.2000,0.1143,0.2000,0.3333,0.8333,0.3333,0.0952,0.3333,0.3333,0.8333,1.0000,7.0000,0.0274,165.5177,0.3333333333333333,0.09523809523809523,0.3333333333333333
4.0000,1.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.2000,0.8000,0.2000,0.1143,0.2000,0.3333,0.8333,0.3333,0.0952,0.3333,0.3333,0.8333,1.0000,7.0000,0.0376,163.5264,0.3333333333333333,0.09523809523809523,0.3333333333333333
4.0000,2.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.5000,0.8750,0.5000,0.0714,0.5000,0.6667,0.9167,0.6667,0.0476,0.6667,0.7500,0.9375,0.7500,0.0357,0.7500,0.8000,0.9500,0.8000,0.0286,0.8000,0.8333,0.9583,0.8333,0.0238,0.8333,0.8333,0.9583,1.0000,7.0000,0.0536,166.6632,0.8333333333333334,0.023809523809523808,0.8333333333333334
4.0000,3.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.0000,0.7500,0.0000,0.1429,0.0000,0.3333,0.8333,0.3333,0.0952,0.3333,0.5000,0.8750,0.5000,0.0714,0.5000,0.6000,0.9000,0.6000,0.0571,0.6000,0.6667,0.9167,0.6667,0.0476,0.6667,0.6667,0.9167,1.0000,7.0000,0.0511,161.9455,0.6666666666666666,0.047619047619047616,0.6666666666666666
